height,hash,mined,miner,size,linkOfSubPage,timestamp,avgFee
674576,0..aaf5419bc2b6b02d03263b8f14aab2ed8deafe41fb52f,4 hours,Unknown,"1,257,818 bytes",https://www.blockchain.com/btc/block/0000000000000000000aaf5419bc2b6b02d03263b8f14aab2ed8deafe41fb52f,1615735284,0.0007550252000000002
674577,0..74d0ea69c31fd920a61c3c490e04f0772d1344b701d82,4 hours,Unknown,"1,079,621 bytes",https://www.blockchain.com/btc/block/000000000000000000074d0ea69c31fd920a61c3c490e04f0772d1344b701d82,1615735290,0.0005964391999999998
674578,0..21638f5024fcac7ba456ac28e57e6ae7bcb9883fb8a5f,4 hours,Unknown,"1,165,836 bytes",https://www.blockchain.com/btc/block/000000000000000000021638f5024fcac7ba456ac28e57e6ae7bcb9883fb8a5f,1615735297,0.0009592839999999998
674579,0..826d80fb26e088c6cd00afed35add654b3acd2b30ed3e,3 hours,Unknown,"1,272,768 bytes",https://www.blockchain.com/btc/block/0000000000000000000826d80fb26e088c6cd00afed35add654b3acd2b30ed3e,1615735304,0.0008047244000000001
674580,0..537371ecbf484de17c91baa2498bde4311f6932dea80b,3 hours,Unknown,"1,159,917 bytes",https://www.blockchain.com/btc/block/0000000000000000000537371ecbf484de17c91baa2498bde4311f6932dea80b,1615735310,0.0014840343999999994
674581,0..286eb95172d856a6c86a57acbe1207d4056532b5d5936,3 hours,Unknown,"1,202,038 bytes",https://www.blockchain.com/btc/block/0000000000000000000286eb95172d856a6c86a57acbe1207d4056532b5d5936,1615735317,0.0012866404000000003
674582,0..142e01b0a7fdf98261abb7e4eb83bf410c16637b44223,3 hours,Unknown,"1,292,569 bytes",https://www.blockchain.com/btc/block/0000000000000000000142e01b0a7fdf98261abb7e4eb83bf410c16637b44223,1615735324,0.0007447632
674583,0..a98a1ac3fefa38b7ee93cf7237f164b294e81da8925d4,3 hours,Unknown,"1,416,578 bytes",https://www.blockchain.com/btc/block/0000000000000000000a98a1ac3fefa38b7ee93cf7237f164b294e81da8925d4,1615735331,0.0009209556000000001
674584,0..3637f95f4da8ccbd0009a57fe345ea16b7f2788aa8026,3 hours,Unknown,"1,124,102 bytes",https://www.blockchain.com/btc/block/00000000000000000003637f95f4da8ccbd0009a57fe345ea16b7f2788aa8026,1615735337,0.0005935952
674585,0..c46567f0233dd37e80167f2fbd8c0503b2fdb712b78db,2 hours,Unknown,"1,276,792 bytes",https://www.blockchain.com/btc/block/0000000000000000000c46567f0233dd37e80167f2fbd8c0503b2fdb712b78db,1615735344,0.0023245816
674586,0..1b8a783046101b8e9dbd77580219f76d4b2a86314b54f,2 hours,Unknown,"1,241,280 bytes",https://www.blockchain.com/btc/block/00000000000000000001b8a783046101b8e9dbd77580219f76d4b2a86314b54f,1615735351,0.0006050708
674587,0..a6e0d680645c0523d1203bd70062c1fbb18596592cb68,2 hours,Unknown,"1,312,802 bytes",https://www.blockchain.com/btc/block/0000000000000000000a6e0d680645c0523d1203bd70062c1fbb18596592cb68,1615735358,0.0009864988
674588,0..87263273fd80c2300bce62a06889f80e493624928763c,2 hours,Unknown,"1,261,794 bytes",https://www.blockchain.com/btc/block/000000000000000000087263273fd80c2300bce62a06889f80e493624928763c,1615735365,0.000807306
674589,0..d6a4cee8f6e6ff9c82d292ad29615be1709954433108,2 hours,Unknown,"1,179,814 bytes",https://www.blockchain.com/btc/block/00000000000000000000d6a4cee8f6e6ff9c82d292ad29615be1709954433108,1615735372,0.0006402935999999999
674590,0..b89576b560df0b7c1a051a233ae9fb6f9c51805758a7c,1 hour,Unknown,"1,292,539 bytes",https://www.blockchain.com/btc/block/0000000000000000000b89576b560df0b7c1a051a233ae9fb6f9c51805758a7c,1615735379,0.0008028956000000003
674591,0..a29a9b3c0623d9461a9ecc52ddfc3951233e89a3962d8,1 hour,Unknown,"1,108,432 bytes",https://www.blockchain.com/btc/block/0000000000000000000a29a9b3c0623d9461a9ecc52ddfc3951233e89a3962d8,1615735385,0.0015541512000000004
674592,0..633624756ba6676a2b1a8e492137db4b3dd0f8771bdd7,1 hour,Unknown,"1,337,907 bytes",https://www.blockchain.com/btc/block/0000000000000000000633624756ba6676a2b1a8e492137db4b3dd0f8771bdd7,1615735392,0.0006692587999999999
674593,0..d184994f08d686f325507da2f017bb86f31325744080d,1 hour,Unknown,"1,269,426 bytes",https://www.blockchain.com/btc/block/0000000000000000000d184994f08d686f325507da2f017bb86f31325744080d,1615735399,0.00031717119999999995
674594,0..411984d6bd0b50a5c517868ffdfa073af416f5d66cbbf,51 minutes,Unknown,"1,431,597 bytes",https://www.blockchain.com/btc/block/0000000000000000000411984d6bd0b50a5c517868ffdfa073af416f5d66cbbf,1615735407,0.0035513751999999995
674595,0..8a2e389af6a5776f6110084d985fa72f660823eac1791,43 minutes,Unknown,"1,297,456 bytes",https://www.blockchain.com/btc/block/00000000000000000008a2e389af6a5776f6110084d985fa72f660823eac1791,1615735414,0.004349974399999998
674596,0..7639e866c93ff4d28972f20a9f0b9e15161af5e16cab4,40 minutes,Unknown,"1,184,237 bytes",https://www.blockchain.com/btc/block/00000000000000000007639e866c93ff4d28972f20a9f0b9e15161af5e16cab4,1615735421,0.0011138112000000002
674597,0..4f4f71e32931cb34d3dc6934f25f6e38295866ff9b183,35 minutes,Unknown,"1,235,619 bytes",https://www.blockchain.com/btc/block/00000000000000000004f4f71e32931cb34d3dc6934f25f6e38295866ff9b183,1615735428,0.000806362
674598,0..97d7aafe686d83435b69305df50dce26d933bc23f0f74,33 minutes,Unknown,"1,259,933 bytes",https://www.blockchain.com/btc/block/000000000000000000097d7aafe686d83435b69305df50dce26d933bc23f0f74,1615735434,0.00042368239999999996
674599,0..5ec48521947c4afa88c1db6749eb55ef8ccac9c4eb519,20 minutes,Unknown,"1,447,772 bytes",https://www.blockchain.com/btc/block/00000000000000000005ec48521947c4afa88c1db6749eb55ef8ccac9c4eb519,1615735441,0.0007135379999999998
674600,0..285cf687dae5d5f24df611e0c629027d803a43782788e,11 minutes,Unknown,"1,270,836 bytes",https://www.blockchain.com/btc/block/0000000000000000000285cf687dae5d5f24df611e0c629027d803a43782788e,1615735448,0.0014159803999999998
